Lê Mạnh Dũng,0,Tiền vệ,172,70,2/10/1994,https://vpf.vn/wp-content/uploads/2018/12/HPFC_VN0002242_LeManhDung_19-150x150.jpg
Dương Văn Khoa,0,Hậu vệ,172,64,5/6/1994,https://vpf.vn/wp-content/uploads/2020/01/HPFC_20_DuongVanKhoa_VN0000190-150x150.jpg
Lê Tiến Anh,0,Tiền vệ,165,65,3/23/1998,https://vpf.vn/wp-content/uploads/2020/01/HPFC_21_LeTienAnh_VN0000362-150x150.png
Đàm Tiến Dũng,0,Hậu vệ,180,79,1/10/1996,https://vpf.vn/wp-content/uploads/2020/01/HPFC_23_DamTienDung_VN0000424-150x150.png
Bicou Bissainthe,0,Hậu vệ,188,75,3/15/1999,https://vpf.vn/wp-content/uploads/2020/01/HPFC_25_BicouBissainthe_HT001682-150x150.jpg
Nguyễn Văn Toản,0,Thủ môn,186,80,11/26/1999,https://vpf.vn/wp-content/uploads/2020/01/HPFC_26_NguyenVanToan_VN0000281-150x150.jpg
Nguyễn Nhật Minh,0,Hậu vệ,175,65,7/27/2003,https://vpf.vn/wp-content/plugins/joomsport-sports-league-results-management/sportleague/assets/images/player_st.png
Lương Hoàng Nam,0,Tiền vệ,160,57,3/2/1997,https://vpf.vn/wp-content/uploads/2020/01/HPFC_30_LuongHoangNam_VN0001246-150x150.png
Nguyễn Đình Tùng,0,Thủ môn,182,76,7/31/2003,https://vpf.vn/wp-content/uploads/2023/10/z4790221942391_ba257990a28337d0456a325fcaf47b5b-150x150.png
Phạm Văn Luân,0,Thủ môn,177,73,7/12/1994,https://vpf.vn/wp-content/uploads/2018/12/HPFC_VN0002249_PhamVanLuan_25-150x150.jpg
A Sân,0,Tiền vệ,172,65,7/16/1996,https://vpf.vn/wp-content/uploads/2020/01/HPFC_42_ASan_VN0001121-150x150.png
Nguyễn Thành Đồng,0,Tiền vệ,170,65,2/6/1995,https://vpf.vn/wp-content/uploads/2020/01/HPFC_45_NguyenThanhDong_VN001683-150x150.jpg
Nguyễn Trọng Đại,0,Tiền vệ,184,72,4/7/1997,https://vpf.vn/wp-content/uploads/2020/01/HPFC_68_NguyenTrongDai_VN0001080-150x150.png
